architecture,test_id,query_number,iteration,start_time,end_time,duration,query_status
Apache_AGE,0,q19,1,1732181044.934152,1732181156.2234619,111.28930997848511,True
Apache_AGE,0,q1,2,1732181156.226267,1732181156.2911737,0.06490659713745117,True
Apache_AGE,0,q2,2,1732181156.293939,1732181156.3184776,0.024538516998291016,True
Apache_AGE,0,q3,2,1732181156.3200107,1732181156.3353443,0.01533365249633789,True
Apache_AGE,0,q4,2,1732181156.3373566,1732181156.4230382,0.08568167686462402,True
Apache_AGE,0,q5,2,1732181156.4246452,1732181158.3875864,1.9629411697387695,True
Apache_AGE,0,q6,2,1732181158.388741,1732181158.4203844,0.03164339065551758,True
Apache_AGE,0,q7,2,1732181158.4215436,1732181158.4350684,0.013524770736694336,True
Apache_AGE,0,q8,2,1732181158.436186,1732181159.5363557,1.1001696586608887,True
Apache_AGE,0,q10,2,1732181159.5458987,1732181159.5644057,0.018507003784179688,True
Apache_AGE,0,q11,2,1732181159.5670407,1732181159.5831904,0.01614975929260254,True
Apache_AGE,0,q12,2,1732181159.585374,1732181159.9170601,0.33168601989746094,True
Apache_AGE,0,q13,2,1732181159.9194815,1732181346.310267,186.39078545570374,True
Apache_AGE,0,q14,2,1732181346.31148,1732181346.4786155,0.16713547706604004,True
Apache_AGE,0,q15,2,1732181346.481566,1732181347.0440474,0.5624814033508301,True
Apache_AGE,0,q16,2,1732181347.046334,1732181349.7153788,2.6690447330474854,True
Apache_AGE,0,q17,2,1732181349.716597,1732181349.7418563,0.02525925636291504,True
Apache_AGE,0,q19,2,1732181349.7430336,1732181461.2655973,111.52256369590759,True
Apache_AGE,0,q1,3,1732181461.2682624,1732181461.3311267,0.06286430358886719,True
Apache_AGE,0,q2,3,1732181461.3337567,1732181461.3572822,0.023525476455688477,True
Apache_AGE,0,q3,3,1732181461.3591533,1732181461.3747091,0.015555858612060547,True
Apache_AGE,0,q4,3,1732181461.3764012,1732181461.4626067,0.08620548248291016,True
Apache_AGE,0,q5,3,1732181461.4650376,1732181463.4177628,1.9527251720428467,True
Apache_AGE,0,q6,3,1732181463.4204335,1732181463.4592626,0.03882908821105957,True
Apache_AGE,0,q7,3,1732181463.4608426,1732181463.477687,0.01684427261352539,True
Apache_AGE,0,q8,3,1732181463.479539,1732181464.6427543,1.1632153987884521,True
Apache_AGE,0,q10,3,1732181464.6522644,1732181464.6710346,0.018770217895507812,True
Apache_AGE,0,q11,3,1732181464.6733785,1732181464.6897192,0.01634073257446289,True
Apache_AGE,0,q12,3,1732181464.6913521,1732181465.0300388,0.3386867046356201,True
Apache_AGE,0,q13,3,1732181465.0324998,1732181650.9312623,185.89876246452332,True
Apache_AGE,0,q14,3,1732181650.932943,1732181651.1000876,0.1671445369720459,True
Apache_AGE,0,q15,3,1732181651.102609,1732181651.6712906,0.5686817169189453,True
Apache_AGE,0,q16,3,1732181651.6740336,1732181654.3655496,2.6915159225463867,True
Apache_AGE,0,q17,3,1732181654.368768,1732181654.39908,0.030312061309814453,True
Apache_AGE,0,q19,3,1732181654.4014645,1732181765.9399078,111.53844332695007,True
Apache_AGE,0,q1,4,1732181765.9426813,1732181766.002921,0.06023979187011719,True
Apache_AGE,0,q2,4,1732181766.0055475,1732181766.0293858,0.023838281631469727,True
Apache_AGE,0,q3,4,1732181766.0315723,1732181766.046595,0.015022754669189453,True
Apache_AGE,0,q4,4,1732181766.0484867,1732181766.1248288,0.07634210586547852,True
Apache_AGE,0,q5,4,1732181766.1271904,1732181768.0832202,1.9560298919677734,True
